StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
1019	1029	GO:0005694	Chromosome	CHROMOSOME	PREF
1715	1719	GO:0005623	cell	CELL	PREF
1715	1727	GO:0005634	cell nucleus	CELL NUCLEUS	SYN
1720	1727	GO:0005634	nucleus	NUCLEUS	PREF
1986	1998	GO:0009405	pathogenesis	PATHOGENESIS	PREF
2626	2636	GO:0005694	chromosome	CHROMOSOME	PREF
2624	2636	GO:0000806	Y chromosome	Y CHROMOSOME	PREF
3046	3058	GO:0009405	pathogenesis	PATHOGENESIS	PREF
3137	3147	GO:0005694	chromosome	CHROMOSOME	PREF
3347	3357	GO:0005694	Chromosome	CHROMOSOME	PREF
3589	3600	GO:0032502	development	DEVELOPMENT	SYN
3799	3806	GO:0003675	protein	PROTEIN	SYN
3964	3974	GO:0065007	regulation	REGULATION	SYN
4309	4320	GO:0032502	development	DEVELOPMENT	SYN
5512	5522	GO:0005694	Chromosome	CHROMOSOME	PREF
5555	5565	GO:0005698	centromere	CENTROMERE	SYN
5555	5565	GO:0000775	centromere	CENTROMERE	SYN
6354	6364	GO:0005694	Chromosome	CHROMOSOME	PREF
6759	6770	GO:0032502	development	DEVELOPMENT	SYN
7892	7901	GO:0000785	chromatin	CHROMATIN	PREF
8146	8149	GO:0005574	DNA	DNA	SYN
8183	8186	GO:0005574	DNA	DNA	SYN
9071	9081	GO:0005694	Chromosome	CHROMOSOME	PREF
9402	9412	GO:0005694	Chromosome	CHROMOSOME	PREF
9588	9597	GO:0000785	chromatin	CHROMATIN	PREF
9682	9692	GO:0005694	Chromosome	CHROMOSOME	PREF
9859	9869	GO:0005694	Chromosome	CHROMOSOME	PREF
10039	10048	GO:0000785	chromatin	CHROMATIN	PREF
10399	10409	GO:0005694	Chromosome	CHROMOSOME	PREF
10759	10768	GO:0000785	chromatin	CHROMATIN	PREF
11393	11400	GO:0003675	protein	PROTEIN	SYN
11780	11790	GO:0005694	Chromosome	CHROMOSOME	PREF
11986	11995	GO:0000785	chromatin	CHROMATIN	PREF
12496	12506	GO:0005694	Chromosome	CHROMOSOME	PREF
12652	12662	GO:0005694	Chromosome	CHROMOSOME	PREF
12707	12710	GO:0033736	LOD	LOD	SYN
12719	12722	GO:0033736	LOD	LOD	SYN
12912	12922	GO:0005694	Chromosome	CHROMOSOME	PREF
13010	13013	GO:0033736	LOD	LOD	SYN
13044	13054	GO:0005694	Chromosome	CHROMOSOME	PREF
13135	13138	GO:0033736	LOD	LOD	SYN
13158	13161	GO:0033736	LOD	LOD	SYN
13433	13443	GO:0005694	Chromosome	CHROMOSOME	PREF
13559	13569	GO:0005694	Chromosome	CHROMOSOME	PREF
13854	13864	GO:0005694	Chromosome	CHROMOSOME	PREF
14002	14012	GO:0005694	chromosome	CHROMOSOME	PREF
14122	14132	GO:0005694	Chromosome	CHROMOSOME	PREF
14361	14371	GO:0005694	Chromosome	CHROMOSOME	PREF
15496	15506	GO:0005694	Chromosome	CHROMOSOME	PREF
15920	15931	GO:0032502	development	DEVELOPMENT	SYN
16517	16527	GO:0005694	Chromosome	CHROMOSOME	PREF
16663	16673	GO:0005694	Chromosome	CHROMOSOME	PREF
17070	17080	GO:0005694	Chromosome	CHROMOSOME	PREF
17123	17134	GO:0032502	development	DEVELOPMENT	SYN
17233	17237	GO:0034023	pure	PURE	SYN
17560	17571	GO:0032502	development	DEVELOPMENT	SYN
17755	17766	GO:0032502	development	DEVELOPMENT	SYN
18066	18076	GO:0005694	chromosome	CHROMOSOME	PREF
18137	18148	GO:0032502	development	DEVELOPMENT	SYN
19427	19431	GO:0034023	pure	PURE	SYN
20064	20074	GO:0005694	Chromosome	CHROMOSOME	PREF
20366	20376	GO:0005694	Chromosome	CHROMOSOME	PREF
20421	20431	GO:0005694	Chromosome	CHROMOSOME	PREF
20533	20543	GO:0005694	Chromosome	CHROMOSOME	PREF
20657	20667	GO:0005694	Chromosome	CHROMOSOME	PREF
20784	20794	GO:0005694	Chromosome	CHROMOSOME	PREF
