StartIndex	EndIndex	GO:ID	Term	OntoTerm
400	408	GO:0005202	collagen	obsolete collagen
638	653	GO:0010467	gene expression	gene expression
3398	3405	GO:0003675	protein	obsolete protein
3655	3670	GO:0010467	gene expression	gene expression
3789	3804	GO:0010467	gene expression	gene expression
3789	3804	GO:0010467	gene expression	gene expression
3880	3892	GO:0032502	development,	developmental process
5012	5022	GO:0065007	regulatory	biological regulation
5470	5485	GO:0010467	gene expression	gene expression
6470	6478	GO:0005202	Collagen	obsolete collagen
6702	6713	GO:0032502	development	developmental process
6881	6897	GO:0010467	gene expression.	gene expression
8543	8558	GO:0010467	gene expression	gene expression
8904	8911	GO:0023052	signals	signaling
9117	9132	GO:0010467	gene expression	gene expression
9777	9792	GO:0010467	gene expression	gene expression
11154	11165	GO:0032502	development	developmental process
11642	11653	GO:0005694	chromosomes	chromosome
12493	12503	GO:0005694	chromosome	chromosome
12493	12503	GO:0005694	chromosome	chromosome
12493	12503	GO:0005694	chromosome	chromosome
12493	12503	GO:0005694	chromosome	chromosome
12493	12503	GO:0005694	chromosome	chromosome
12493	12503	GO:0005694	chromosome	chromosome
13277	13292	GO:0010467	gene expression	gene expression
13840	13855	GO:0010467	gene expression	gene expression
15793	15808	GO:0010467	gene expression	gene expression
15793	15808	GO:0010467	gene expression	gene expression
16260	16276	GO:0006955	immune response.	immune response
16435	16451	GO:0006955	immune response,	immune response
16452	16470	GO:0031090	organelle membrane	organelle membrane
16475	16495	GO:0005576	extracellular region	extracellular region
16612	16635	GO:0005911	intercellular junction.	cell-cell junction
16807	16832	GO:0046651	lymphocyte proliferation,	lymphocyte proliferation
16860	16867	GO:0032092	binding	positive regulation of protein bindingprotein
16896	16904	GO:0007219	pathway.	Notch signaling pathwaysignal
17607	17619	GO:0005694	chromosomes,	chromosome
18911	18918	GO:0035556	cascade	intracellular signal transductionkinase
20457	20471	GO:0071736	IgG2a antibody	IgG immunoglobulin complex, circulating
20457	20471	GO:0071736	IgG2a antibody	IgG immunoglobulin complex, circulating
20482	20490	GO:0005202	collagen	obsolete collagen
20482	20490	GO:0005202	collagen	obsolete collagen
20697	20707	GO:0005694	chromosome	chromosome
20697	20707	GO:0005694	chromosome	chromosome
20745	20770	GO:0046651	lymphocyte proliferation.	lymphocyte proliferation
20880	20891	GO:0032502	development	developmental process
21073	21088	GO:0010467	gene expression	gene expression
21073	21088	GO:0010467	gene expression	gene expression
21073	21088	GO:0010467	gene expression	gene expression
22094	22118	GO:0046651	lymphocyte proliferation	lymphocyte proliferation
22415	22430	GO:0006955	immune response	immune response
22553	22561	GO:0003823	antibody	antigen binding
22574	22582	GO:0005202	collagen	obsolete collagen
22859	22874	GO:0010467	gene expression	gene expression
23100	23116	GO:0010467	gene expression.	gene expression
23280	23286	GO:0004707	(MAPK)	MAP kinase activity
23618	23629	GO:0032502	development	developmental process
24511	24526	GO:0010467	gene expression	gene expression
25840	25844	GO:0004707	MAPK	MAP kinase activity
26210	26225	GO:0010467	gene expression	gene expression
26754	26759	GO:0005488	bound	binding
27252	27257	GO:0005488	bound	binding
28019	28034	GO:0010467	gene expression	gene expression
29052	29067	GO:0010467	gene expression	gene expression
29052	29067	GO:0010467	gene expression	gene expression
29232	29236	GO:0005623	cell	cell
29324	29337	GO:0006351	transcription	transcription, DNA-templated
29941	29956	GO:0010467	gene expression	gene expression
30175	30190	GO:0010467	gene expression	gene expression
